sentence, cat
out that,print,that
out thats,print,thats
out the,print,the
out thee,print,thee
out their,print,their
out them,print,them
out themselves,print,themselves
out then,print,then
out theory,print,theory
out there,print,there
out therefore,print,therefore
out theres,print,theres
out these,print,these
out they,print,they
out theyre,print,theyre
out thick,print,thick
out thin,print,thin
out thing,print,thing
out things,print,things
out think,print,think
out thinking,print,thinking
out thinks,print,thinks
out third,print,third
out thirty,print,thirty
out this,print,this
out thomas,print,thomas
out those,print,those
out thou,print,thou
out though,print,though
out thought,print,thought
out thoughts,print,thoughts
out thousand,print,thousand
out thousands,print,thousands
out thread,print,thread
out three,print,three
out threw,print,threw
out throat,print,throat
out through,print,through
out throughout,print,throughout
out throw,print,throw
out thrown,print,thrown
out thumb,print,thumb
out thus,print,thus
out thy,print,thy
out tide,print,tide
out tie,print,tie
out tied,print,tied
out tight,print,tight
out tightly,print,tightly
out till,print,till
out tim,print,tim
out time,print,time
out times,print,times
out tin,print,tin
out tiny,print,tiny
out tip,print,tip
out tired,print,tired
out title,print,title
out to,print,to
out today,print,today
out todays,print,todays
out toes,print,toes
out together,print,together
out told,print,told
out tom,print,tom
out tommy,print,tommy
out tomorrow,print,tomorrow
out tone,print,tone
out tongue,print,tongue
out tonight,print,tonight
out tons,print,tons
out too,print,too
out took,print,took
out tools,print,tools
out top,print,top
out topic,print,topic
out tops,print,tops
out torn,print,torn
out tossed,print,tossed
out total,print,total
out touch,print,touch
out touched,print,touched
out tough,print,tough
out toward,print,toward
out tower,print,tower
out town,print,town
out towns,print,towns
out toy,print,toy
out trace,print,trace
out track,print,track
out tracks,print,tracks
out trade,print,trade
out traffic,print,traffic
out trail,print,trail
out train,print,train
out trained,print,trained
out training,print,training
out trains,print,trains
out transportation,print,transportation
out trap,print,trap
out travel,print,travel
out traveled,print,traveled
out traveling,print,traveling
out travels,print,travels
out treated,print,treated
out tree,print,tree
out trees,print,trees
out tremendous,print,tremendous
out triangle,print,triangle
out tribe,print,tribe
out tribes,print,tribes
out trick,print,trick
out tricks,print,tricks
out tried,print,tried
out trip,print,trip
out trips,print,trips
out troops,print,troops
out tropical,print,tropical
out trouble,print,trouble
out truck,print,truck
out trucks,print,trucks
out true,print,true
out trunk,print,trunk
out truth,print,truth
out try,print,try
out trying,print,trying
out tube,print,tube
out tubes,print,tubes
out tune,print,tune
out turn,print,turn
out turned,print,turned
out turning,print,turning
out turns,print,turns
out tv,print,tv
out twelve,print,twelve
out twenty,print,twenty
out twice,print,twice
out two,print,two
out type,print,type
out types,print,types
out typical,print,typical
out uncle,print,uncle
out under,print,under
out underline,print,underline
out understand,print,understand
out understanding,print,understanding
out understood,print,understood
out unhappy,print,unhappy
out union,print,union
out unit,print,unit
out united states,print,united states
out units,print,units
out universe,print,universe
out university,print,university
out unknown,print,unknown
out unless,print,unless
out unlike,print,unlike
out until,print,until
out unusual,print,unusual
out up,print,up
out upon,print,upon
out upper,print,upper
out upward,print,upward
out us,print,us
out use,print,use
out used,print,used
out useful,print,useful
out uses,print,uses
out using,print,using
out usual,print,usual
out usuall,print,usuall
out valley,print,valley
out valleys,print,valleys
out valuable,print,valuable
out value,print,value
out values,print,values
out vapor,print,vapor
out variety,print,variety
out various,print,various
out vast,print,vast
out vegetables,print,vegetables
out verb,print,verb
out verbs,print,verbs
out vertical,print,vertical
out very,print,very
out vessels,print,vessels
out victory,print,victory
out view,print,view
out village,print,village
out villages,print,villages
out virginia,print,virginia
out visit,print,visit
out visited,print,visited
out visitors,print,visitors
out voice,print,voice
out voices,print,voices
out volume,print,volume
out vote,print,vote
out vowel,print,vowel
out voyage,print,voyage
out wagon,print,wagon
out wagons,print,wagons
out wait,print,wait
out waited,print,waited
out waiting,print,waiting
out walk,print,walk
out walked,print,walked
out walking,print,walking
out walks,print,walks
out wall,print,wall
out walls,print,walls
out want,print,want
out wanted,print,wanted
out wants,print,wants
out war,print,war
out warm,print,warm
out warning,print,warning
out was,print,was
out wash,print,wash
out washed,print,washed
out washing,print,washing
out washington,print,washington
out wasnt,print,wasnt
out waste,print,waste
out watched,print,watched
out watching,print,watching
out water,print,water
out waters,print,waters
out wave,print,wave
out waved,print,waved
out waves,print,waves
out way,print,way
out ways,print,ways
out we,print,we
out well,print,well
out weve,print,weve
out weak,print,weak
out wealth,print,wealth
out wear,print,wear
out wearing,print,wearing
out weather,print,weather
out week,print,week
out weeks,print,weeks
out weight,print,weight
out welcome,print,welcome
out went,print,went
out were,print,were
out werent,print,werent
out west,print,west
out western,print,western
out wet,print,wet
out whale,print,whale
out what,print,what
out whats,print,whats
out whatever,print,whatever
out wheat,print,wheat
out wheel,print,wheel
out wheels,print,wheels
out when,print,when
out whenever,print,whenever
out where,print,where
out wherever,print,wherever
out whether,print,whether
out which,print,which
out while,print,while
out whispered,print,whispered
out whistle,print,whistle
out white,print,white
out who,print,who
out whole,print,whole
out whom,print,whom
out whose,print,whose
out why,print,why
out wide,print,wide
out widely,print,widely
out wife,print,wife
out wild,print,wild
out will,print,will
out william,print,william
out willing,print,willing
out wilson,print,wilson
out win,print,win
out wind,print,wind
out window,print,window
out windows,print,windows
out winds,print,winds
out wing,print,wing
out wings,print,wings
out winter,print,winter
out wire,print,wire
out wires,print,wires
out wise,print,wise
out wish,print,wish
out wished,print,wished
out wishes,print,wishes
out with,print,with
out within,print,within
out without,print,without
out wolf,print,wolf
out woman,print,woman
out women,print,women
out won,print,won
out wont,print,wont
out wonder,print,wonder
out wondered,print,wondered
out wonderful,print,wonderful
out wood,print,wood
out wooden,print,wooden
out woods,print,woods
out wool,print,wool
out word,print,word
out words,print,words
out wore,print,wore
out work,print,work
out worked,print,worked
out workers,print,workers
out working,print,working
out works,print,works
out world,print,world
out worlds,print,worlds
out worn,print,worn
out worried,print,worried
out worry,print,worry
out worse,print,worse
out worth,print,worth
out would,print,would
out wouldnt,print,wouldnt
out wound,print,wound
out wrapped,print,wrapped
out write,print,write
out writer,print,writer
out writers,print,writers
out writing,print,writing
out written,print,written
out wrong,print,wrong
out wrote,print,wrote
out yard,print,yard
out yards,print,yards
out year,print,year
out years,print,years
out yelled,print,yelled
out yellow,print,yellow
out yes,print,yes
out yesterday,print,yesterday
out yet,print,yet
out you,print,you
out youd,print,youd
out youll,print,youll
out youre,print,youre
out youve,print,youve
out young,print,young
out younger,print,younger
out your,print,your
out yours,print,yours
out yourself,print,yourself
out youth,print,youth
out zero,print,zero
out zoo,print,zoo
give a,print,a
give ability,print,ability
give able,print,able
give aboard,print,aboard
give about,print,about
give above,print,above
give accept,print,accept
give accepted,print,accepted
give accident,print,accident
give according,print,according
give account,print,account
give accurate,print,accurate
give acres,print,acres
give across,print,across
give act,print,act
give action,print,action
give active,print,active
give activities,print,activities
give activity,print,activity
give acts,print,acts
give actual,print,actual
give actually,print,actually
give add,print,add
give added,print,added
